State,latitude,longitude,Electric Vehicle Registrations by State ,Electric Vehicle Charging stations by State,Electric Vehicle Charging outlests by State,Supercharing stalls open,Gross domestic product (GDP),Disposable personal income,pupulation/area,number of Laws and Incentives ,Car Sales Tax by State,Car Dealer Doc Fee by State,Car Registrate Fee by State,EV Purchase Tax Credit Maximum,Additional EV Annual Registration Fee Maximum,Monthly insurance cost by States,Difference of insurance costs from non-EVs ,Average Price of Residential  Electricity(Cents per Kilowatthour in Jul 23),Unleaded Price in October 2023,Average savings per fill up for Sedan,"Median Age
 (years)","in married-couple percentage
 family household","not in married  percentage
couple household",never married percentage,married percentage,"divorced or  percentage
separated",widowed percentage,"average family percentage
 size","less than high  percentage
school graduate","high school  percentage
graduate","some college or  percentage
associate's degree","bachelor's  percentage
degree","graduate or 
professional 
degree percentage",mean household income,"median household
 income","average number 
of workers per 
household","average household 
size of 
owner-occupied 
unit","average household 
size of 
renter-occupied 
unit"
Alabama,63.588753,-154.493062,13000.00,424.00,1096.00,64.00,304935.60,250036.20,97.45,13.00,0.02,485.00,23.00,0.00,200.00,195.00,33.00,14.43,3.28,25.00,39.60,0.57,0.41,0.32,0.48,0.14,0.07,3.02,0.11,0.30,0.30,0.18,0.11,88203.00,62212.00,1.10,2.52,2.19
Alaska,32.318231,-86.902298,2700.00,65.00,124.00,,68056.00,48363.00,1.10,8.00,0.00,200.00,100.00,1000.00,0.00,162.00,39.00,24.88,4.63,37.00,35.30,0.59,0.37,0.34,0.49,0.13,0.04,3.28,0.07,0.29,0.34,0.19,0.12,106216.00,86370.00,1.26,2.77,2.47
Arizona,35.20105,-91.831833,89800.00,1198.00,3506.00,304.00,522767.20,418331.60,65.19,27.00,0.06,410.00,9.50,0.00,0.00,182.00,34.00,14.12,4.59,39.00,39.30,0.58,0.40,0.34,0.48,0.13,0.05,3.09,0.11,0.23,0.33,0.20,0.13,107562.00,77315.00,1.18,2.57,2.34
Arkansas,34.048928,-111.093731,7100.00,334.00,833.00,16.00,178606.40,160388.20,57.69,11.00,0.07,110.00,17.00,0.00,200.00,223.00,55.00,12.51,3.33,28.00,38.90,0.57,0.40,0.31,0.49,0.14,0.07,3.01,0.11,0.34,0.29,0.17,0.10,85132.00,58700.00,1.09,2.52,2.21
California,36.778261,-119.417932,1256600.00,16381.00,49433.00,1381.00,3870378.90,2694042.20,238.04,140.00,0.07,85.00,46.00,7500.00,108.00,217.00,46.00,29.38,5.93,43.00,38.20,0.59,0.39,0.38,0.46,0.11,0.05,3.36,0.15,0.20,0.27,0.23,0.15,135931.00,95521.00,1.35,2.90,2.62
Colorado,39.550051,-105.782067,90100.00,2165.00,5432.00,80.00,529626.50,412483.80,56.46,52.00,0.03,490.00,,5000.00,51.88,210.00,46.00,14.16,3.83,36.00,37.90,0.60,0.38,0.33,0.51,0.12,0.04,2.96,0.07,0.19,0.28,0.28,0.18,124129.00,92911.00,1.28,2.51,2.10
Connecticut,41.603221,-73.087749,31600.00,865.00,2547.00,44.00,345911.90,275316.90,652.57,40.00,0.06,415.00,80.00,7500.00,0.00,224.00,62.00,26.63,3.77,25.00,41.50,0.58,0.39,0.36,0.47,0.12,0.05,3.03,0.08,0.26,0.23,0.23,0.20,133097.00,91665.00,1.26,2.61,2.11
Delaware,38.905985,-77.033418,8400.00,197.00,523.00,60.00,98068.70,60661.60,414.58,18.00,0.00,292.00,40.00,2500.00,0.00,219.00,39.00,15.10,3.29,31.00,42.00,0.58,0.40,0.33,0.49,0.12,0.06,3.01,0.09,0.29,0.27,0.21,0.16,108060.00,81361.00,1.20,2.53,2.21
District of Columbia,38.910832,-75.52767,8100.00,369.00,1158.00,16.00,176501.70,60794.00,9984.88,,,,,,,224.00,62.00,16.55,,35.00,34.90,0.37,0.58,0.54,0.32,0.10,0.04,2.88,0.07,0.13,0.14,0.27,0.39,170985.00,108210.00,1.11,2.21,1.73
Florida,27.664827,-81.515754,254900.00,3430.00,9763.00,310.00,1600810.60,1378615.60,343.85,26.00,0.06,995.00,225.00,0.00,0.00,313.00,78.00,14.97,3.52,29.00,42.80,0.57,0.41,0.31,0.48,0.14,0.06,3.03,0.10,0.27,0.29,0.22,0.13,104490.00,73311.00,1.18,2.51,2.38
Georgia,32.157435,-82.907123,92400.00,1886.00,4994.00,212.00,831827.70,583228.40,185.60,18.00,0.07,545.00,20.00,0.00,213.70,181.00,24.00,14.35,3.20,28.00,37.90,0.57,0.41,0.35,0.47,0.13,0.05,3.21,0.11,0.26,0.28,0.21,0.14,105623.00,74632.00,1.26,2.71,2.37
Hawaii,19.898682,-155.665857,25600.00,384.00,860.00,,110265.40,83644.10,131.28,20.00,0.04,250.00,45.00,0.00,50.00,121.00,21.00,39.98,4.87,26.00,41.40,0.61,0.37,0.34,0.50,0.10,0.06,3.38,0.07,0.26,0.30,0.23,0.14,119154.00,95322.00,1.37,2.98,2.57
Idaho,41.878003,-93.097702,8500.00,205.00,517.00,8.00,120958.30,104074.60,23.51,5.00,0.06,265.00,69.00,0.00,140.00,122.00,19.00,11.82,4.11,43.00,37.80,0.67,0.31,0.28,0.55,0.12,0.05,3.11,0.08,0.26,0.34,0.22,0.11,97271.00,74942.00,1.24,2.71,2.36
Illinois,44.068202,-114.742041,99600.00,1337.00,3510.00,152.00,1098346.10,790852.60,216.70,27.00,0.06,303.00,101.00,4000.00,100.00,158.00,32.00,14.93,3.75,37.00,39.50,0.58,0.40,0.36,0.47,0.11,0.06,3.09,0.09,0.25,0.27,0.23,0.16,114968.00,80306.00,1.22,2.59,2.08
Indiana,40.633125,-89.398528,26100.00,565.00,1533.00,95.00,499503.10,375480.40,188.42,24.00,0.07,150.00,36.35,0.00,150.00,147.00,28.00,14.48,3.52,29.00,38.30,0.59,0.39,0.33,0.49,0.13,0.06,3.04,0.10,0.32,0.28,0.19,0.11,94673.00,69477.00,1.20,2.57,2.09
Iowa,40.551217,-85.602364,9000.00,371.00,855.00,20.00,254032.00,181363.80,56.99,15.00,0.05,135.00,,0.00,130.00,145.00,32.00,15.07,3.51,31.00,39.10,0.60,0.37,0.31,0.52,0.12,0.06,2.93,0.07,0.30,0.32,0.21,0.11,94207.00,71433.00,1.20,2.46,1.97
Kansas,39.011902,-98.484246,11300.00,547.00,1196.00,32.00,228232.40,173793.60,35.74,7.00,0.08,399.00,30.00,2400.00,70.00,203.00,45.00,13.70,3.56,28.00,37.90,0.61,0.36,0.31,0.51,0.12,0.06,3.00,0.08,0.25,0.31,0.22,0.13,93976.00,70333.00,1.23,2.57,2.07
Kentucky,37.839333,-84.270018,11600.00,328.00,849.00,32.00,279707.50,225150.80,112.01,12.00,0.06,450.00,21.00,0.00,120.00,247.00,47.00,12.37,3.37,29.00,39.20,0.58,0.39,0.30,0.50,0.14,0.07,2.95,0.11,0.33,0.29,0.16,0.12,87909.00,61118.00,1.10,2.48,2.15
Louisiana,31.244823,-92.145024,8200.00,265.00,709.00,60.00,314988.60,245273.40,87.32,11.00,0.04,200.00,,0.00,100.00,295.00,62.00,11.23,3.29,27.00,38.70,0.52,0.45,0.36,0.44,0.14,0.06,3.07,0.12,0.33,0.28,0.17,0.10,88101.00,58229.00,1.09,2.51,2.24
Maine,42.407211,-71.382437,7400.00,486.00,1084.00,24.00,93270.00,81105.90,39.45,20.00,0.06,499.00,35.00,7500.00,0.00,130.00,23.00,27.79,3.74,27.00,44.80,0.59,0.38,0.29,0.50,0.15,0.06,2.86,0.06,0.31,0.29,0.21,0.13,92358.00,68251.00,1.14,2.41,1.98
Maryland,39.045755,-76.641271,72100.00,1726.00,5022.00,138.00,515607.30,399744.80,498.17,34.00,0.06,500.00,135.00,3000.00,0.00,209.00,41.00,16.03,3.48,32.00,39.80,0.58,0.40,0.36,0.47,0.11,0.05,3.16,0.09,0.24,0.24,0.22,0.21,130900.00,98678.00,1.32,2.67,2.27
Massachusetts,45.253783,-69.445469,73800.00,2965.00,7032.00,68.00,736296.30,532858.00,663.39,50.00,0.06,396.00,60.00,3500.00,0.00,174.00,31.00,27.39,3.73,23.00,40.30,0.57,0.40,0.38,0.46,0.11,0.05,3.02,0.09,0.23,0.21,0.25,0.22,144826.00,99858.00,1.29,2.60,2.10
Michigan,44.314844,-85.602364,50300.00,1447.00,3352.00,44.00,673818.10,548158.00,103.78,32.00,0.06,230.00,,0.00,145.00,264.00,51.00,19.32,3.66,29.00,40.50,0.58,0.40,0.34,0.48,0.12,0.06,3.01,0.08,0.28,0.32,0.20,0.13,97574.00,69183.00,1.14,2.52,2.04
Minnesota,46.729553,-94.6859,37100.00,773.00,1995.00,84.00,483162.10,362922.60,66.00,30.00,0.07,75.00,,0.00,75.00,160.00,28.00,15.45,3.69,31.00,39.10,0.61,0.36,0.33,0.51,0.11,0.05,3.01,0.06,0.23,0.31,0.26,0.14,115963.00,85086.00,1.27,2.56,1.95
Mississippi,37.964253,-91.831833,3600.00,163.00,551.00,8.00,151146.70,134651.10,60.70,13.00,0.05,425.00,15.00,0.00,150.00,240.00,79.00,13.02,3.20,25.00,39.30,0.54,0.43,0.34,0.45,0.14,0.07,3.07,0.12,0.29,0.33,0.16,0.10,79888.00,54203.00,1.08,2.54,2.20
Missouri,32.354668,-89.398528,26900.00,1240.00,2703.00,40.00,430114.40,346580.00,88.89,12.00,0.04,500.00,21.00,0.00,105.00,202.00,47.00,14.63,3.45,30.00,39.30,0.59,0.39,0.32,0.49,0.13,0.06,2.97,0.08,0.29,0.29,0.20,0.13,94894.00,68545.00,1.18,2.51,2.04
Montana,46.879682,-110.362566,4600.00,126.00,347.00,40.00,73254.50,64682.70,7.70,10.00,0.00,299.00,217.00,0.00,0.00,194.00,43.00,13.10,4.05,38.00,40.10,0.60,0.38,0.30,0.51,0.14,0.06,3.01,0.06,0.28,0.33,0.23,0.12,88088.00,66341.00,1.17,2.49,2.18
Nebraska,35.759573,-79.0193,6900.00,260.00,554.00,20.00,181285.00,127033.70,25.58,12.00,0.06,299.00,15.00,0.00,75.00,218.00,45.00,12.43,3.67,32.00,37.40,0.62,0.36,0.32,0.52,0.11,0.05,2.98,0.07,0.25,0.33,0.23,0.12,100419.00,74590.00,1.25,2.57,1.99
Nevada,47.551493,-101.002012,47400.00,596.00,1987.00,220.00,245978.80,187067.40,28.89,17.00,0.07,499.00,33.00,0.00,0.00,235.00,42.00,16.32,5.03,44.00,39.40,0.54,0.45,0.36,0.45,0.15,0.05,3.22,0.12,0.27,0.32,0.19,0.10,102051.00,76364.00,1.26,2.65,2.47
New Hampshire,41.492537,-99.901813,9900.00,261.00,597.00,16.00,114100.80,97893.50,149.97,17.00,0.00,372.00,31.20,0.00,0.00,150.00,37.00,29.26,3.64,22.00,43.40,0.63,0.34,0.31,0.52,0.12,0.06,2.91,0.06,0.27,0.27,0.25,0.16,126663.00,96838.00,1.31,2.55,1.98
New Jersey,43.193852,-71.572395,134800.00,1299.00,3723.00,136.00,806665.20,661194.40,1065.10,40.00,0.07,399.00,33.50,4000.00,0.00,226.00,33.00,18.47,3.59,30.00,40.40,0.61,0.37,0.35,0.50,0.10,0.05,3.13,0.09,0.25,0.22,0.26,0.18,142462.00,99781.00,1.32,2.72,2.32
New Mexico,40.058324,-74.405661,10300.00,278.00,695.00,38.00,135009.60,105653.90,17.39,23.00,0.04,339.00,27.00,0.00,0.00,172.00,31.00,14.69,3.68,31.00,39.90,0.52,0.46,0.36,0.44,0.15,0.06,3.07,0.13,0.25,0.31,0.18,0.14,85311.00,62268.00,1.10,2.51,2.21
New York,34.97273,-105.032363,131300.00,3898.00,11114.00,84.00,2172009.60,1339351.10,358.74,48.00,0.04,175.00,26.00,2000.00,0.00,223.00,27.00,22.33,3.88,28.00,40.20,0.54,0.43,0.39,0.45,0.11,0.06,3.09,0.12,0.24,0.23,0.23,0.18,129057.00,82095.00,1.19,2.62,2.19
North Carolina,38.80261,-116.419389,70200.00,1595.00,4204.00,187.00,788103.20,595900.40,201.33,31.00,0.03,599.00,36.00,0.00,140.25,105.00,11.00,12.70,3.40,30.00,39.40,0.58,0.39,0.33,0.49,0.12,0.06,2.98,0.09,0.25,0.29,0.23,0.14,99781.00,70804.00,1.18,2.51,2.19
North Dakota,43.299428,-74.217933,1000.00,98.00,209.00,,76043.30,51143.00,11.09,8.00,0.05,299.00,49.00,0.00,120.00,167.00,31.00,12.57,3.80,35.00,35.40,0.60,0.36,0.33,0.51,0.10,0.06,3.04,0.07,0.26,0.36,0.22,0.09,95730.00,73959.00,1.24,2.54,2.00
Ohio,40.417287,-82.907123,50400.00,1586.00,3653.00,220.00,884834.20,647225.00,262.93,12.00,0.06,250.00,34.50,0.00,200.00,119.00,22.00,15.85,3.35,29.00,39.90,0.56,0.41,0.34,0.47,0.13,0.06,2.97,0.08,0.32,0.28,0.19,0.13,96652.00,67769.00,1.15,2.47,2.06
Oklahoma,35.007752,-97.092877,22800.00,358.00,1363.00,40.00,256689.40,224847.00,58.00,21.00,0.03,299.00,85.00,5500.00,110.00,208.00,36.00,12.46,3.51,29.00,37.10,0.58,0.40,0.31,0.48,0.14,0.06,3.09,0.10,0.31,0.30,0.19,0.10,87434.00,62138.00,1.15,2.61,2.22
Oregon,43.804133,-120.554201,64400.00,1263.00,3190.00,207.00,318884.10,248212.90,43.03,39.00,0.00,115.00,43.00,5000.00,91.00,151.00,25.00,13.12,4.72,53.00,40.70,0.57,0.40,0.33,0.49,0.14,0.05,2.90,0.08,0.22,0.32,0.24,0.14,109248.00,80160.00,1.17,2.51,2.11
Pennsylvania,41.203322,-77.194525,70200.00,1712.00,4293.00,232.00,976360.80,788220.20,281.45,21.00,0.06,389.00,36.00,3000.00,0.00,193.00,37.00,17.94,3.85,33.00,41.10,0.57,0.39,0.35,0.48,0.11,0.06,2.96,0.08,0.33,0.24,0.21,0.14,106559.00,73824.00,1.17,2.50,2.02
Rhode Island,41.580095,-71.477429,6400.00,317.00,817.00,16.00,77573.90,65560.30,709.36,20.00,0.07,220.00,30.00,2500.00,0.00,224.00,51.00,25.79,3.67,24.00,40.80,0.55,0.41,0.37,0.45,0.12,0.06,2.99,0.10,0.26,0.24,0.23,0.16,116403.00,84972.00,1.21,2.57,2.02
South Carolina,33.836081,-81.163725,20900.00,559.00,1374.00,144.00,327420.10,275523.30,167.82,16.00,0.05,350.00,40.00,0.00,60.00,210.00,36.00,13.61,3.27,26.00,40.50,0.58,0.40,0.32,0.49,0.12,0.06,2.96,0.10,0.28,0.29,0.20,0.13,93171.00,67804.00,1.13,2.48,2.21
South Dakota,43.969515,-99.901813,1700.00,98.00,232.00,8.00,74033.90,61233.40,11.92,8.00,0.04,115.00,36.00,0.00,50.00,184.00,34.00,13.23,3.77,34.00,37.50,0.60,0.37,0.32,0.51,0.12,0.06,3.09,0.07,0.30,0.32,0.21,0.09,88755.00,69457.00,1.26,2.58,2.15
Tennessee,35.517491,-86.580447,33200.00,918.00,2225.00,163.00,523031.60,405764.70,169.10,8.00,0.07,500.00,23.75,0.00,100.00,162.00,38.00,12.31,3.30,27.00,39.10,0.58,0.40,0.31,0.49,0.13,0.06,3.01,0.10,0.31,0.27,0.19,0.12,96261.00,67631.00,1.17,2.50,2.24
Texas,31.968599,-99.901813,230100.00,3104.00,8637.00,576.00,2583866.20,1834674.40,113.57,28.00,0.06,150.00,50.75,0.00,0.00,196.00,30.00,13.80,3.30,27.00,35.90,0.60,0.38,0.34,0.49,0.12,0.05,3.26,0.14,0.24,0.28,0.22,0.13,106792.00,75780.00,1.31,2.85,2.33
Utah,39.32098,-111.093731,40000.00,893.00,2185.00,6198.00,281329.10,191527.00,40.26,22.00,0.07,299.00,43.00,0.00,130.25,172.00,33.00,11.73,4.09,42.00,32.30,0.70,0.29,0.31,0.55,0.10,0.04,3.36,0.07,0.22,0.33,0.25,0.14,116038.00,93421.00,1.47,3.04,2.50
Vermont,37.431573,-78.656894,7800.00,381.00,978.00,60.00,43533.80,38495.70,67.33,36.00,0.06,180.00,76.00,4000.00,0.00,141.00,32.00,20.44,3.79,28.00,42.90,0.57,0.39,0.33,0.48,0.14,0.06,2.91,0.06,0.28,0.25,0.24,0.17,95188.00,74014.00,1.22,2.45,2.01
Virginia,44.558803,-72.577841,84900.00,1562.00,4565.00,,719896.90,562219.00,203.76,35.00,0.04,599.00,40.75,2500.00,120.00,193.00,68.00,13.97,3.50,30.00,39.30,0.60,0.37,0.33,0.50,0.12,0.05,3.07,0.09,0.24,0.25,0.24,0.19,124204.00,89931.00,1.27,2.60,2.26
Washington,47.751074,-120.740139,152100.00,2202.00,5817.00,179.00,807864.50,556473.00,109.58,52.00,0.07,150.00,30.00,0.00,150.00,180.00,34.00,11.16,5.10,59.00,38.60,0.60,0.38,0.33,0.50,0.13,0.05,3.04,0.08,0.22,0.30,0.24,0.16,133833.00,94605.00,1.23,2.61,2.22
West Virginia,43.78444,-88.787868,2800.00,155.00,446.00,200.00,102151.80,85098.10,73.05,10.00,0.06,175.00,30.00,0.00,200.00,199.00,44.00,14.10,3.56,31.00,42.60,0.58,0.39,0.29,0.48,0.15,0.08,3.05,0.12,0.40,0.26,0.14,0.09,79767.00,55217.00,1.00,2.50,2.23
Wisconsin,38.597626,-80.454903,24900.00,577.00,1398.00,24.00,428447.10,341826.60,90.25,24.00,0.05,299.00,75.00,0.00,100.00,132.00,24.00,16.94,3.41,29.00,40.50,0.59,0.39,0.34,0.50,0.11,0.05,2.94,0.06,0.30,0.30,0.22,0.12,99892.00,74631.00,1.20,2.49,1.94
Wyoming,43.075968,-107.290284,1100.00,103.00,252.00,96.00,51990.50,42460.40,5.97,9.00,0.04,500.00,30.00,0.00,200.00,170.00,29.00,12.41,3.86,37.00,38.50,0.63,0.35,0.28,0.53,0.14,0.06,3.02,0.06,0.28,0.37,0.18,0.11,92145.00,72495.00,1.20,2.52,2.13
