State,Latitude,Longitude,Electric Vehicle Registrations by State,Electric Vehicle Charging stations by State,Electric Vehicle Charging outlests by State,Supercharing stalls open,Gross domestic product (GDP),Disposable personal income,pupulation/area,number of Laws and Incentives,Car Sales Tax by State,Car Dealer Doc Fee by State,Car Registrate Fee by State,EV Purchase Tax Credit Maximum,Additional EV Annual Registration Fee Maximum,Monthly insurance cost by States,Difference of insurance costs from non-EVs,Average Price of Residential Electricity(Cents per Kilowatthour in Jul 23),Unleaded Price in October 2023,Average savings per fill up for Sedan,"Median Age
  (years)","in married-couple percentage
  family household","not in married percentage
 couple household",never married percentage,married percentage,"divorced or percentage
 separated",widowed percentage,"average family percentage
  size","less than high percentage
 school graduate","high school percentage
 graduate","some college or percentage
 associate's degree","bachelor's percentage
 degree","graduate or 
 professional 
 degree percentage",mean household income,"median household
  income","average number 
 of workers per 
 household","average household 
 size of 
 owner-occupied 
 unit","average household 
 size of 
 renter-occupied 
 unit"
Alabama,32.806671,-86.79113,13000,424,1096,64,304935.6,250036.2,97.45,13,0.02,485,23,0,200,195,33,14.43,3.28,25,39.6,0.57,0.41,0.32,0.48,0.14,0.07,3.02,0.11,0.3,0.3,0.18,0.11,88203,62212,1.1,2.52,2.19
Alaska,61.370716,-152.404419,2700,65,124,,68056,48363,1.1,8,0,200,100,1000,0,162,39,24.88,4.63,37,35.3,0.59,0.37,0.34,0.49,0.13,0.04,3.28,0.07,0.29,0.34,0.19,0.12,106216,86370,1.26,2.77,2.47
Arizona,33.729759,-111.431221,89800,1198,3506,304,522767.2,418331.6,65.19,27,0.06,410,9.5,0,0,182,34,14.12,4.59,39,39.3,0.58,0.4,0.34,0.48,0.13,0.05,3.09,0.11,0.23,0.33,0.2,0.13,107562,77315,1.18,2.57,2.34
Arkansas,34.969704,-92.373123,7100,334,833,16,178606.4,160388.2,57.69,11,0.07,110,17,0,200,223,55,12.51,3.33,28,38.9,0.57,0.4,0.31,0.49,0.14,0.07,3.01,0.11,0.34,0.29,0.17,0.1,85132,58700,1.09,2.52,2.21
California,36.116203,-119.681564,1256600,16381,49433,1381,3870379,2694042,238.04,140,0.07,85,46,7500,108,217,46,29.38,5.93,43,38.2,0.59,0.39,0.38,0.46,0.11,0.05,3.36,0.15,0.2,0.27,0.23,0.15,135931,95521,1.35,2.9,2.62
Colorado,39.059811,-105.311104,90100,2165,5432,80,529626.5,412483.8,56.46,52,0.03,490,,5000,51.88,210,46,14.16,3.83,36,37.9,0.6,0.38,0.33,0.51,0.12,0.04,2.96,0.07,0.19,0.28,0.28,0.18,124129,92911,1.28,2.51,2.1
Connecticut,41.597782,-72.755371,31600,865,2547,44,345911.9,275316.9,652.57,40,0.06,415,80,7500,0,224,62,26.63,3.77,25,41.5,0.58,0.39,0.36,0.47,0.12,0.05,3.03,0.08,0.26,0.23,0.23,0.2,133097,91665,1.26,2.61,2.11
Delaware,39.318523,-75.507141,8400,197,523,60,98068.7,60661.6,414.58,18,0,292,40,2500,0,219,39,15.1,3.29,31,42,0.58,0.4,0.33,0.49,0.12,0.06,3.01,0.09,0.29,0.27,0.21,0.16,108060,81361,1.2,2.53,2.21
District of Columbia,38.897438,-77.026817,8100,369,1158,16,176501.7,60794,9984.88,,,,,,,224,62,16.55,,35,34.9,0.37,0.58,0.54,0.32,0.1,0.04,2.88,0.07,0.13,0.14,0.27,0.39,170985,108210,1.11,2.21,1.73
Florida,27.766279,-81.686783,254900,3430,9763,310,1600811,1378616,343.85,26,0.06,995,225,0,0,313,78,14.97,3.52,29,42.8,0.57,0.41,0.31,0.48,0.14,0.06,3.03,0.1,0.27,0.29,0.22,0.13,104490,73311,1.18,2.51,2.38
Georgia,33.040619,-83.643074,92400,1886,4994,212,831827.7,583228.4,185.6,18,0.07,545,20,0,213.7,181,24,14.35,3.2,28,37.9,0.57,0.41,0.35,0.47,0.13,0.05,3.21,0.11,0.26,0.28,0.21,0.14,105623,74632,1.26,2.71,2.37
Hawaii,21.094318,-157.498337,25600,384,860,,110265.4,83644.1,131.28,20,0.04,250,45,0,50,121,21,39.98,4.87,26,41.4,0.61,0.37,0.34,0.5,0.1,0.06,3.38,0.07,0.26,0.3,0.23,0.14,119154,95322,1.37,2.98,2.57
Idaho,44.240459,-114.478828,8500,205,517,8,120958.3,104074.6,23.51,5,0.06,265,69,0,140,122,19,11.82,4.11,43,37.8,0.67,0.31,0.28,0.55,0.12,0.05,3.11,0.08,0.26,0.34,0.22,0.11,97271,74942,1.24,2.71,2.36
Illinois,40.349457,-88.986137,99600,1337,3510,152,1098346,790852.6,216.7,27,0.06,303,101,4000,100,158,32,14.93,3.75,37,39.5,0.58,0.4,0.36,0.47,0.11,0.06,3.09,0.09,0.25,0.27,0.23,0.16,114968,80306,1.22,2.59,2.08
Indiana,39.849426,-86.258278,26100,565,1533,95,499503.1,375480.4,188.42,24,0.07,150,36.35,0,150,147,28,14.48,3.52,29,38.3,0.59,0.39,0.33,0.49,0.13,0.06,3.04,0.1,0.32,0.28,0.19,0.11,94673,69477,1.2,2.57,2.09
Iowa,42.011539,-93.210526,9000,371,855,20,254032,181363.8,56.99,15,0.05,135,,0,130,145,32,15.07,3.51,31,39.1,0.6,0.37,0.31,0.52,0.12,0.06,2.93,0.07,0.3,0.32,0.21,0.11,94207,71433,1.2,2.46,1.97
Kansas,38.5266,-96.726486,11300,547,1196,32,228232.4,173793.6,35.74,7,0.08,399,30,2400,70,203,45,13.7,3.56,28,37.9,0.61,0.36,0.31,0.51,0.12,0.06,3,0.08,0.25,0.31,0.22,0.13,93976,70333,1.23,2.57,2.07
Kentucky,37.66814,-84.670067,11600,328,849,32,279707.5,225150.8,112.01,12,0.06,450,21,0,120,247,47,12.37,3.37,29,39.2,0.58,0.39,0.3,0.5,0.14,0.07,2.95,0.11,0.33,0.29,0.16,0.12,87909,61118,1.1,2.48,2.15
Louisiana,31.169546,-91.867805,8200,265,709,60,314988.6,245273.4,87.32,11,0.04,200,,0,100,295,62,11.23,3.29,27,38.7,0.52,0.45,0.36,0.44,0.14,0.06,3.07,0.12,0.33,0.28,0.17,0.1,88101,58229,1.09,2.51,2.24
Maine,44.693947,-69.381927,7400,486,1084,24,93270,81105.9,39.45,20,0.06,499,35,7500,0,130,23,27.79,3.74,27,44.8,0.59,0.38,0.29,0.5,0.15,0.06,2.86,0.06,0.31,0.29,0.21,0.13,92358,68251,1.14,2.41,1.98
Maryland,39.063946,-76.802101,72100,1726,5022,138,515607.3,399744.8,498.17,34,0.06,500,135,3000,0,209,41,16.03,3.48,32,39.8,0.58,0.4,0.36,0.47,0.11,0.05,3.16,0.09,0.24,0.24,0.22,0.21,130900,98678,1.32,2.67,2.27
Massachusetts,42.230171,-71.530106,73800,2965,7032,68,736296.3,532858,663.39,50,0.06,396,60,3500,0,174,31,27.39,3.73,23,40.3,0.57,0.4,0.38,0.46,0.11,0.05,3.02,0.09,0.23,0.21,0.25,0.22,144826,99858,1.29,2.6,2.1
Michigan,43.326618,-84.536095,50300,1447,3352,44,673818.1,548158,103.78,32,0.06,230,,0,145,264,51,19.32,3.66,29,40.5,0.58,0.4,0.34,0.48,0.12,0.06,3.01,0.08,0.28,0.32,0.2,0.13,97574,69183,1.14,2.52,2.04
Minnesota,45.694454,-93.900192,37100,773,1995,84,483162.1,362922.6,66,30,0.07,75,,0,75,160,28,15.45,3.69,31,39.1,0.61,0.36,0.33,0.51,0.11,0.05,3.01,0.06,0.23,0.31,0.26,0.14,115963,85086,1.27,2.56,1.95
Mississippi,32.741646,-89.678696,3600,163,551,8,151146.7,134651.1,60.7,13,0.05,425,15,0,150,240,79,13.02,3.2,25,39.3,0.54,0.43,0.34,0.45,0.14,0.07,3.07,0.12,0.29,0.33,0.16,0.1,79888,54203,1.08,2.54,2.2
Missouri,38.456085,-92.288368,26900,1240,2703,40,430114.4,346580,88.89,12,0.04,500,21,0,105,202,47,14.63,3.45,30,39.3,0.59,0.39,0.32,0.49,0.13,0.06,2.97,0.08,0.29,0.29,0.2,0.13,94894,68545,1.18,2.51,2.04
Montana,46.921925,-110.454353,4600,126,347,40,73254.5,64682.7,7.7,10,0,299,217,0,0,194,43,13.1,4.05,38,40.1,0.6,0.38,0.3,0.51,0.14,0.06,3.01,0.06,0.28,0.33,0.23,0.12,88088,66341,1.17,2.49,2.18
Nebraska,41.12537,-98.268082,6900,260,554,20,181285,127033.7,25.58,12,0.06,299,15,0,75,218,45,12.43,3.67,32,37.4,0.62,0.36,0.32,0.52,0.11,0.05,2.98,0.07,0.25,0.33,0.23,0.12,100419,74590,1.25,2.57,1.99
Nevada,38.313515,-117.055374,47400,596,1987,220,245978.8,187067.4,28.89,17,0.07,499,33,0,0,235,42,16.32,5.03,44,39.4,0.54,0.45,0.36,0.45,0.15,0.05,3.22,0.12,0.27,0.32,0.19,0.1,102051,76364,1.26,2.65,2.47
New Hampshire,43.452492,-71.563896,9900,261,597,16,114100.8,97893.5,149.97,17,0,372,31.2,0,0,150,37,29.26,3.64,22,43.4,0.63,0.34,0.31,0.52,0.12,0.06,2.91,0.06,0.27,0.27,0.25,0.16,126663,96838,1.31,2.55,1.98
New Jersey,40.298904,-74.521011,134800,1299,3723,136,806665.2,661194.4,1065.1,40,0.07,399,33.5,4000,0,226,33,18.47,3.59,30,40.4,0.61,0.37,0.35,0.5,0.1,0.05,3.13,0.09,0.25,0.22,0.26,0.18,142462,99781,1.32,2.72,2.32
New Mexico,34.840515,-106.248482,10300,278,695,38,135009.6,105653.9,17.39,23,0.04,339,27,0,0,172,31,14.69,3.68,31,39.9,0.52,0.46,0.36,0.44,0.15,0.06,3.07,0.13,0.25,0.31,0.18,0.14,85311,62268,1.1,2.51,2.21
New York,42.165726,-74.948051,131300,3898,11114,84,2172010,1339351,358.74,48,0.04,175,26,2000,0,223,27,22.33,3.88,28,40.2,0.54,0.43,0.39,0.45,0.11,0.06,3.09,0.12,0.24,0.23,0.23,0.18,129057,82095,1.19,2.62,2.19
North Carolina,35.630066,-79.806419,70200,1595,4204,187,788103.2,595900.4,201.33,31,0.03,599,36,0,140.25,105,11,12.7,3.4,30,39.4,0.58,0.39,0.33,0.49,0.12,0.06,2.98,0.09,0.25,0.29,0.23,0.14,99781,70804,1.18,2.51,2.19
North Dakota,47.528912,-99.784012,1000,98,209,,76043.3,51143,11.09,8,0.05,299,49,0,120,167,31,12.57,3.8,35,35.4,0.6,0.36,0.33,0.51,0.1,0.06,3.04,0.07,0.26,0.36,0.22,0.09,95730,73959,1.24,2.54,2
Ohio,40.388783,-82.764915,50400,1586,3653,220,884834.2,647225,262.93,12,0.06,250,34.5,0,200,119,22,15.85,3.35,29,39.9,0.56,0.41,0.34,0.47,0.13,0.06,2.97,0.08,0.32,0.28,0.19,0.13,96652,67769,1.15,2.47,2.06
Oklahoma,35.565342,-96.928917,22800,358,1363,40,256689.4,224847,58,21,0.03,299,85,5500,110,208,36,12.46,3.51,29,37.1,0.58,0.4,0.31,0.48,0.14,0.06,3.09,0.1,0.31,0.3,0.19,0.1,87434,62138,1.15,2.61,2.22
Oregon,44.572021,-122.070938,64400,1263,3190,207,318884.1,248212.9,43.03,39,0,115,43,5000,91,151,25,13.12,4.72,53,40.7,0.57,0.4,0.33,0.49,0.14,0.05,2.9,0.08,0.22,0.32,0.24,0.14,109248,80160,1.17,2.51,2.11
Pennsylvania,40.590752,-77.209755,70200,1712,4293,232,976360.8,788220.2,281.45,21,0.06,389,36,3000,0,193,37,17.94,3.85,33,41.1,0.57,0.39,0.35,0.48,0.11,0.06,2.96,0.08,0.33,0.24,0.21,0.14,106559,73824,1.17,2.5,2.02
Rhode Island,41.680893,-71.51178,6400,317,817,16,77573.9,65560.3,709.36,20,0.07,220,30,2500,0,224,51,25.79,3.67,24,40.8,0.55,0.41,0.37,0.45,0.12,0.06,2.99,0.1,0.26,0.24,0.23,0.16,116403,84972,1.21,2.57,2.02
South Carolina,33.856892,-80.945007,20900,559,1374,144,327420.1,275523.3,167.82,16,0.05,350,40,0,60,210,36,13.61,3.27,26,40.5,0.58,0.4,0.32,0.49,0.12,0.06,2.96,0.1,0.28,0.29,0.2,0.13,93171,67804,1.13,2.48,2.21
South Dakota,44.299782,-99.438828,1700,98,232,8,74033.9,61233.4,11.92,8,0.04,115,36,0,50,184,34,13.23,3.77,34,37.5,0.6,0.37,0.32,0.51,0.12,0.06,3.09,0.07,0.3,0.32,0.21,0.09,88755,69457,1.26,2.58,2.15
Tennessee,35.747845,-86.692345,33200,918,2225,163,523031.6,405764.7,169.1,8,0.07,500,23.75,0,100,162,38,12.31,3.3,27,39.1,0.58,0.4,0.31,0.49,0.13,0.06,3.01,0.1,0.31,0.27,0.19,0.12,96261,67631,1.17,2.5,2.24
Texas,31.054487,-97.563461,230100,3104,8637,576,2583866,1834674,113.57,28,0.06,150,50.75,0,0,196,30,13.8,3.3,27,35.9,0.6,0.38,0.34,0.49,0.12,0.05,3.26,0.14,0.24,0.28,0.22,0.13,106792,75780,1.31,2.85,2.33
Utah,40.150032,-111.862434,40000,893,2185,6198,281329.1,191527,40.26,22,0.07,299,43,0,130.25,172,33,11.73,4.09,42,32.3,0.7,0.29,0.31,0.55,0.1,0.04,3.36,0.07,0.22,0.33,0.25,0.14,116038,93421,1.47,3.04,2.5
Vermont,44.045876,-72.710686,7800,381,978,60,43533.8,38495.7,67.33,36,0.06,180,76,4000,0,141,32,20.44,3.79,28,42.9,0.57,0.39,0.33,0.48,0.14,0.06,2.91,0.06,0.28,0.25,0.24,0.17,95188,74014,1.22,2.45,2.01
Virginia,37.769337,-78.169968,84900,1562,4565,,719896.9,562219,203.76,35,0.04,599,40.75,2500,120,193,68,13.97,3.5,30,39.3,0.6,0.37,0.33,0.5,0.12,0.05,3.07,0.09,0.24,0.25,0.24,0.19,124204,89931,1.27,2.6,2.26
Washington,47.400902,-121.490494,152100,2202,5817,179,807864.5,556473,109.58,52,0.07,150,30,0,150,180,34,11.16,5.1,59,38.6,0.6,0.38,0.33,0.5,0.13,0.05,3.04,0.08,0.22,0.3,0.24,0.16,133833,94605,1.23,2.61,2.22
West Virginia,38.491226,-80.954453,2800,155,446,200,102151.8,85098.1,73.05,10,0.06,175,30,0,200,199,44,14.1,3.56,31,42.6,0.58,0.39,0.29,0.48,0.15,0.08,3.05,0.12,0.4,0.26,0.14,0.09,79767,55217,1,2.5,2.23
Wisconsin,44.268543,-89.616508,24900,577,1398,24,428447.1,341826.6,90.25,24,0.05,299,75,0,100,132,24,16.94,3.41,29,40.5,0.59,0.39,0.34,0.5,0.11,0.05,2.94,0.06,0.3,0.3,0.22,0.12,99892,74631,1.2,2.49,1.94
Wyoming,42.755966,-107.30249,1100,103,252,96,51990.5,42460.4,5.97,9,0.04,500,30,0,200,170,29,12.41,3.86,37,38.5,0.63,0.35,0.28,0.53,0.14,0.06,3.02,0.06,0.28,0.37,0.18,0.11,92145,72495,1.2,2.52,2.13